"condition","awareness","qulty_rate_var","qulty_feel_var","qulty_smlr_var","indiv_body","happ.diff"
"facial mimicry",1,6,1,5,4.61111111111111,0
"pen-in-mouth",3.5,7,6,5,5,0.5
"voluntary facial action",1,7,6,3,3.05555555555556,2.5
"pen-in-mouth",1.5,7,5,6,4.33333333333333,-2
"facial mimicry",1.5,7,1,4,3.5,1.5
"pen-in-mouth",4,7,2,6,4.27777777777778,-2
"facial mimicry",6,7,7,7,5.72222222222222,5
"facial mimicry",2,7,3,6,5.33333333333333,0.5
"pen-in-mouth",1,7,1,2,3.16666666666667,0
"pen-in-mouth",1,5,3,5,2.38888888888889,-0.25
"facial mimicry",1,5,5,4,2.88888888888889,0
"pen-in-mouth",1,7,1,4,4.55555555555556,-0.25
"voluntary facial action",1,7,4,2,4.11111111111111,1
"facial mimicry",6,7,5,5,4.66666666666667,1
"pen-in-mouth",1,7,1,7,1.77777777777778,2.25
"voluntary facial action",1,6,1,2,6.11111111111111,0
"voluntary facial action",1,4,1,6,3.16666666666667,0
"facial mimicry",1,7,6,6,3.05555555555556,1.75
"voluntary facial action",1,7,2,5,3.88888888888889,0.25
"facial mimicry",4.5,7,4,6,4.66666666666667,0.75
"voluntary facial action",1,7,5,4,4.16666666666667,-1.25
"pen-in-mouth",1.5,7,2,5,5.22222222222222,1.5
"pen-in-mouth",1,7,3,5,3.55555555555556,0
"voluntary facial action",1,7,1,3,3.55555555555556,0
"voluntary facial action",2.5,7,1,6,4.61111111111111,-1.25
"voluntary facial action",1.5,7,5,5,5.5,0
"facial mimicry",1,6,1,NA,4.5,0
"voluntary facial action",1,7,2,NA,4.5,0
"voluntary facial action",1,7,2,3,4.22222222222222,-2
"pen-in-mouth",2,7,2,7,4.55555555555556,0
"facial mimicry",1,7,7,7,5,3
"pen-in-mouth",1.5,7,7,NA,3.88888888888889,-2.25
"facial mimicry",1,7,2,6,6.5,-2
"voluntary facial action",1,6,6,4,5.33333333333333,0.5
"pen-in-mouth",1,7,2,5,5.05555555555556,0.5
"facial mimicry",4,7,6,7,3.5,4
"pen-in-mouth",2.5,7,1,5,4.33333333333333,0.25
"facial mimicry",1,7,7,5,4.88888888888889,0.25
"pen-in-mouth",4.5,6,2,6,5.27777777777778,0
"voluntary facial action",1,7,2,6,3.88888888888889,0
"pen-in-mouth",1,7,4,4,2.77777777777778,0
"voluntary facial action",1,7,1,5,5.5,-0.5
"voluntary facial action",4.5,7,2,5,3.44444444444444,-0.25
"voluntary facial action",1,6,5,5,4.38888888888889,0
"facial mimicry",4.5,7,6,6,4.83333333333333,-1.5
"pen-in-mouth",1,7,6,7,3.77777777777778,1
"facial mimicry",1,7,7,4,6.16666666666667,0.5
"voluntary facial action",2,7,2,NA,4.94444444444444,-0.5
"voluntary facial action",6,6,5,4,3.83333333333333,1.25
"pen-in-mouth",2,7,1,3,4.38888888888889,0
"voluntary facial action",1,3,3,3,4.72222222222222,-0.5
"voluntary facial action",2,7,6,7,3.61111111111111,3.25
